--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
012.244  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
013.176  000.004  000.004: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
013.182  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
013.371  000.024  000.024: require('mason-core.path')
013.470  000.023  000.023: require('mason-core.functional.data')
013.500  000.027  000.027: require('mason-core.functional.function')
013.542  000.040  000.040: require('mason-core.functional.list')
013.573  000.027  000.027: require('mason-core.functional.relation')
013.594  000.020  000.020: require('mason-core.functional.logic')
013.651  000.056  000.056: require('mason-core.functional.number')
013.726  000.067  000.067: require('mason-core.functional.string')
013.781  000.054  000.054: require('mason-core.functional.table')
013.835  000.052  000.052: require('mason-core.functional.type')
013.841  000.434  000.067: require('mason-core.functional')
013.868  000.496  000.062: require('mason-core.platform')
013.939  000.070  000.070: require('mason.settings')
013.942  000.625  000.035: require('mason-core.installer.InstallLocation')
014.055  000.056  000.056: require('mason-core.log')
014.057  000.078  000.022: require('mason-core.EventEmitter')
014.081  000.023  000.023: require('mason-registry.sources')
014.103  000.161  000.060: require('mason-registry')
014.104  000.910  000.124: require('mason')
014.226  000.037  000.037: require('mason.api.command')
014.232  001.629  000.678: require('mason-core.functional')
014.247  000.015  000.015: require('mason-lspconfig.settings')
014.249  001.918  000.273: require('mason-lspconfig')
014.287  000.021  000.021: require('mason-core.async')
014.321  000.018  000.018: require('mason-core.async.control')
014.339  000.017  000.017: require('mason-core.result')
014.367  000.011  000.011: require('mason-core.async.uv')
014.370  000.030  000.019: require('mason-core.fs')
014.375  000.088  000.023: require('mason-registry.installer')
014.438  000.018  000.018: require('mason-core.optional')
014.533  000.064  000.064: require('mason-core.process')
014.554  000.021  000.021: require('mason-core.spawn')
014.556  000.101  000.016: require('mason-core.installer.managers.powershell')
014.567  000.011  000.011: require('mason.version')
014.568  000.130  000.018: require('mason-core.fetch')
014.580  000.012  000.012: require('mason-core.providers')
014.656  000.031  000.031: require('mason-core.purl')
014.659  000.051  000.020: require('mason-core.package.AbstractPackage')
014.738  000.023  000.023: require('mason-core.installer.compiler.expr')
014.740  000.044  000.022: require('mason-core.installer.compiler.link')
014.828  000.014  000.014: require('mason-core.installer.context.InstallContextCwd')
014.845  000.017  000.017: require('mason-core.installer.context.InstallContextFs')
014.860  000.015  000.015: require('mason-core.installer.context.InstallContextSpawn')
014.881  000.020  000.020: require('mason-core.receipt')
014.890  000.107  000.041: require('mason-core.installer.context')
014.891  000.118  000.012: require('mason-core.installer')
014.897  000.143  000.025: require('mason-core.installer.managers.std')
014.899  000.158  000.015: require('mason-core.installer.compiler.schemas')
014.917  000.018  000.018: require('mason-core.installer.compiler.util')
014.921  000.243  000.023: require('mason-core.installer.compiler')
014.944  000.023  000.023: require('mason-core.installer.linker')
014.946  000.287  000.021: require('mason-core.installer.InstallRunner')
014.964  000.017  000.017: require('mason-core.installer.UninstallRunner')
014.967  000.375  000.021: require('mason-core.package')
014.968  000.387  000.013: require('mason-registry.sources.util')
014.978  000.578  000.032: require('mason-registry.sources.github')
016.905  000.016  000.016: require('mason-lspconfig.mappings')
016.906  000.034  000.018: require('mason-lspconfig.features.automatic_enable')
019.963  000.047  000.047: require('vim.lsp.log')
020.149  000.183  000.183: require('vim.lsp.protocol')
020.234  000.084  000.084: require('vim.lsp.util')
020.275  000.015  000.015: require('vim.lsp.sync')
020.278  000.042  000.026: require('vim.lsp._changetracking')
020.335  000.022  000.022: require('vim.lsp._transport')
020.348  000.070  000.047: require('vim.lsp.rpc')
020.379  000.535  000.110: require('vim.lsp')
021.075  000.015  000.015: require('mason-lspconfig.notify')
021.098  000.069  000.054: require('mason-lspconfig.api.command')
021.235  000.082  000.082: require('gitsigns')
021.325  000.068  000.068: require('gitsigns.highlight')
021.364  000.026  000.026: require('gitsigns.debug.log')
021.433  000.068  000.068: require('gitsigns.config')
021.657  000.018  000.018: require('gitsigns.debounce')
021.661  000.522  000.259: sourcing /home/hellotalk/.local/share/nvim/lazy/gitsigns.nvim/plugin/gitsigns.lua
021.664  000.536  000.014: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
021.668  000.002  000.002: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
021.673  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
021.904  000.140  000.140: require('lspconfig.util')
021.963  000.054  000.054: require('vim.version')
